OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
1,1.17011E+18,1,0,55,12,2017,1,5,6,2,9,1,0,1,0,0,0,2,2,6.05079E+20,6.00176E+21,1.0609E+16,5.41532E+16
2,1.17011E+18,1,0,60,53,2017,1,6,6,3,6,2,0,0,1,0,1,2,1,5.82297E+20,5.96929E+21,1.02515E+16,5.38656E+16
3,1.17011E+18,1,0,61,11,2017,1,18,6,3,7,7,0,1,0,0,0,2,1,5.22799E+20,5.99058E+21,9.34834E+15,5.40629E+16
4,1.17011E+18,1,0,55,42,2017,1,12,7,3,5,3,1,1,0,0,0,0,0,6.16129E+20,5.98156E+21,1.07704E+16,5.39693E+16
5,1.17011E+18,1,0,62,60,2017,1,8,6,3,2,6,0,1,0,0,0,0,1,5.81576E+20,5.93491E+21,1.02315E+16,5.35567E+16
6,1.17011E+18,1,0,59,159,2017,1,8,7,3,2,6,0,1,0,0,1,0,2,5.28525E+20,6.05285E+21,9.44178E+15,5.46223E+16
7,1.1701E+18,1,0,60,39,2017,1,11,4,3,5,3,0,1,0,0,0,0,1,5.64367E+20,5.95963E+21,9.97686E+15,5.37812E+16
8,1.17012E+18,1,0,58,50,2017,1,5,1,3,9,1,0,0,0,0,1,2,2,5.60158E+20,6.01953E+21,9.92487E+15,5.43201E+16
9,1.1701E+18,1,0,3,0,2017,1,1,1,3,4,2,0,1,0,0,0,2,1,6.10786E+20,5.96776E+21,1.0684E+16,5.38466E+16
10,1.17012E+18,1,0,4,0,2017,1,7,2,3,9,2,0,1,0,0,0,2,1,5.64199E+20,5.99115E+21,9.98093E+15,5.40646E+16
11,1.1701E+18,1,0,60,34,2017,1,18,1,3,9,7,0,1,0,0,0,2,1,5.70032E+20,5.971E+21,1.00654E+16,5.38827E+16
12,1.17011E+18,1,0,57,5,2017,1,2,7,2,9,1,0,1,0,0,0,2,0,5.81916E+20,5.99753E+21,1.02533E+16,5.41194E+16
13,1.17012E+18,1,0,53,116,2017,1,10,2,3,0,7,0,0,0,1,0,0,1,5.98617E+20,5.92904E+21,1.04868E+16,5.35011E+16
14,1.1701E+18,1,0,57,74,2017,1,7,2,3,8,1,0,1,0,0,0,1,2,5.8123E+20,6.02265E+21,1.02496E+16,5.43452E+16
15,1.17011E+18,1,0,51,132,2017,1,22,7,3,4,1,0,1,0,0,0,2,2,4.90691E+20,6.00198E+21,8.85742E+15,5.41658E+16
16,1.17012E+18,1,0,2,0,2017,1,7,3,3,0,1,1,0,0,0,0,2,2,5.7108E+20,6.01635E+21,1.0092E+16,5.42901E+16
17,1.1701E+18,1,0,60,94,2017,1,7,2,3,8,1,0,1,0,0,0,2,2,5.70617E+20,5.95885E+21,1.00715E+16,5.37734E+16
18,1.17011E+18,1,0,59,75,2017,1,12,2,3,1,6,0,1,0,0,0,0,1,5.36276E+20,6.04092E+21,9.56035E+15,5.45146E+16
19,1.17011E+18,1,0,53,100,2017,1,17,2,3,2,6,0,1,0,0,0,2,1,6.17796E+20,5.95107E+21,1.07841E+16,5.3695E+16
20,1.17011E+18,1,0,54,95,2017,1,8,3,3,0,6,0,1,0,0,0,1,1,4.98092E+20,6.02272E+21,8.97064E+15,5.43523E+16
21,1.17011E+18,1,0,55,35,2017,1,7,5,2,8,1,0,1,0,0,1,2,2,6.13637E+20,5.98405E+21,1.07334E+16,5.39923E+16
22,1.17011E+18,1,0,58,49,2017,1,8,5,2,8,1,0,1,0,0,0,0,2,5.54438E+20,6.00958E+21,9.83514E+15,5.42313E+16
23,1.17011E+18,1,0,56,39,2017,1,14,5,3,3,2,1,0,0,0,1,0,1,5.52398E+20,5.94461E+21,9.7927E+15,5.36476E+16
24,1.17011E+18,1,0,2,0,2017,1,7,6,3,5,3,1,1,0,0,0,1,1,5.76199E+20,6.01718E+21,1.01708E+16,5.42968E+16
25,1.17011E+18,1,0,3,0,2017,1,19,6,3,0,7,1,0,0,0,0,2,2,6.10149E+20,5.96993E+21,1.06751E+16,5.38662E+16
26,1.17011E+18,1,0,60,95,2017,1,15,6,3,2,6,0,1,0,0,0,0,1,5.54764E+20,5.97333E+21,9.83358E+15,5.39055E+16
