OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
1,1,0,3,0,2018,1,8,5,2,0,7,0,1,0,0,0,0,0,0,6.12054E+20,5.96963E+21,1.0704E+16,5.38631E+16
2,1,0,62,20,2018,1,15,6,3,5,2,0,0,1,0,0,0,0,1,5.92302E+20,5.9388E+21,1.03945E+16,5.35899E+16
3,1,0,56,15,2018,1,19,4,3,2,6,2,0,1,0,0,0,0,1,5.47115E+20,5.95527E+21,9.7144E+15,5.37439E+16
4,1,0,59,37,2018,1,10,5,3,5,3,0,0,1,0,0,0,0,1,5.34122E+20,6.05452E+21,9.52867E+15,5.46369E+16
5,1,0,58,150,2018,1,13,3,3,5,2,0,0,1,0,0,0,0,0,5.72288E+20,6.03746E+21,1.01157E+16,5.44796E+16
6,1,0,4,0,2018,1,19,3,3,2,6,2,0,1,0,0,0,0,1,5.64185E+20,5.99116E+21,9.98071E+15,5.40646E+16
7,1,0,54,57,2018,1,18,2,1,4,6,2,0,1,0,0,0,1,1,5.09579E+20,6.04328E+21,9.14804E+15,5.4537E+16
8,1,0,3,0,2018,1,16,1,3,9,6,0,0,1,0,0,0,0,0,6.09516E+20,5.97037E+21,1.06656E+16,5.38702E+16
9,1,0,58,97,2018,1,15,5,1,4,1,1,0,1,0,0,0,0,2,5.32968E+20,6.02199E+21,9.50715E+15,5.43447E+16
10,1,0,2,0,2018,1,7,6,3,0,6,2,1,0,1,0,0,0,1,5.71435E+20,6.01652E+21,1.00975E+16,5.42916E+16
11,1,0,1,0,2018,1,7,5,3,6,2,2,0,1,1,0,0,0,1,5.27332E+20,6.0718E+21,9.42508E+15,5.47926E+16
12,1,0,4,0,2018,1,17,4,3,6,2,2,0,1,1,0,0,0,1,5.63776E+20,5.98959E+21,9.97414E+15,5.40506E+16
13,1,0,56,44,2018,1,9,2,3,5,3,0,1,0,0,0,0,1,1,5.55314E+20,5.93948E+21,9.83589E+15,5.36012E+16
14,1,0,54,13,2018,1,10,3,3,9,1,0,0,0,0,0,0,1,2,5.18609E+20,6.04589E+21,9.28777E+15,5.45602E+16
15,1,0,60,101,2018,1,4,1,3,8,1,2,0,1,0,0,0,0,0,5.80143E+20,5.97636E+21,1.02206E+16,5.39294E+16
16,1,0,59,75,2018,1,20,1,3,0,1,2,0,0,0,1,0,0,0,5.35068E+20,6.03977E+21,9.54155E+15,5.45044E+16
17,1,0,2,0,2018,1,13,7,3,2,6,0,0,1,0,0,0,0,0,5.74566E+20,6.01755E+21,1.01458E+16,5.43004E+16
18,1,0,59,75,2018,1,14,3,2,8,1,0,0,1,0,0,0,0,2,5.35396E+20,6.04307E+21,9.54702E+15,5.45339E+16
19,1,0,51,61,2018,1,0,1,2,1,5,2,0,1,0,1,0,0,0,5.01701E+20,6.01941E+21,9.02615E+15,5.43226E+16
20,1,0,58,33,2018,1,21,1,2,8,1,2,0,1,0,0,0,0,2,5.70694E+20,6.00415E+21,1.00832E+16,5.41805E+16
21,1,0,57,3,2018,1,7,4,3,9,7,0,0,1,0,0,0,0,1,5.85188E+20,6.02913E+21,1.03123E+16,5.44028E+16
22,1,0,56,4,2018,1,11,7,3,2,6,0,0,1,0,0,0,0,0,5.57754E+20,5.95828E+21,9.87626E+15,5.37699E+16
23,1,0,55,46,2018,1,9,4,3,5,3,0,1,1,0,0,0,0,1,6.41921E+20,6.03486E+21,1.11885E+16,5.44416E+16
24,1,0,2,0,2018,1,15,5,3,2,6,0,0,1,0,0,0,0,1,5.69769E+20,6.02013E+21,1.00727E+16,5.43243E+16
