FID,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
0,1,1,0,53,120,2016,1,9,5,2,8,1,0,2,0,1,0,0,0,0,6.06982E+20,5.95466E+21,1.06217E+16,5.37296E+16
1,2,1,0,57,10,2016,1,17,3,3,1,6,2,1,0,1,0,0,0,0,5.74883E+20,6.01144E+21,1.01492E+16,5.42455E+16
2,3,1,0,62,8,2016,1,0,5,3,9,7,2,0,0,1,0,0,0,0,5.99935E+20,5.96461E+21,1.05181E+16,5.38204E+16
3,4,1,0,3,0,2016,1,15,5,3,5,3,0,0,1,0,0,0,0,1,6.10709E+20,5.96828E+21,1.0683E+16,5.38512E+16
4,5,1,0,55,28,2016,1,14,1,3,8,1,0,2,0,1,0,0,0,0,6.05691E+20,6.00915E+21,1.0621E+16,5.42195E+16
5,6,1,0,61,44,2016,1,17,6,3,9,7,2,1,0,1,0,0,0,0,5.42547E+20,5.96392E+21,9.64634E+15,5.38221E+16
6,7,1,0,60,54,2016,1,17,3,3,6,6,2,0,1,0,1,0,0,0,5.58412E+20,5.96989E+21,9.88845E+15,5.38742E+16
7,8,1,0,55,29,2016,1,11,1,2,2,6,0,1,0,1,0,0,0,0,6.23912E+20,6.00821E+21,1.08999E+16,5.42069E+16
8,9,1,0,60,85,2016,1,16,2,2,4,6,0,1,0,1,0,0,0,0,5.79664E+20,5.96547E+21,1.02105E+16,5.38317E+16
9,10,1,0,54,126,2016,1,10,4,2,5,3,0,0,0,1,0,0,0,1,4.94321E+20,6.06681E+21,8.91177E+15,5.47485E+16
10,11,1,0,57,85,2016,1,12,7,3,5,3,0,0,1,1,0,0,0,0,5.79234E+20,5.99595E+21,1.02119E+16,5.41056E+16
11,12,1,0,55,16,2016,1,12,7,3,2,2,0,0,0,1,0,0,0,0,6.28946E+20,6.00725E+21,1.09766E+16,5.4197E+16
12,13,1,0,56,15,2016,1,16,2,3,2,6,2,2,0,1,0,0,0,1,5.43673E+20,5.95878E+21,9.6627E+15,5.37758E+16
13,14,1,0,54,84,2016,1,6,5,3,8,1,2,2,0,1,0,0,0,0,5.074E+20,6.03574E+21,9.11417E+15,5.44693E+16
14,15,1,0,2,0,2016,1,7,4,3,6,4,2,2,0,1,1,0,0,0,5.73159E+20,6.01835E+21,1.01244E+16,5.43078E+16
15,16,1,0,58,139,2016,1,1,6,3,8,1,2,1,0,1,0,0,0,0,5.66757E+20,6.0115E+21,1.00245E+16,5.42471E+16
16,17,1,0,60,95,2016,1,3,7,3,9,7,2,1,0,1,0,0,0,0,5.54302E+20,5.97078E+21,9.8261E+15,5.38826E+16
17,18,1,0,1,0,2016,1,18,5,3,6,3,2,0,0,1,1,0,0,0,5.26694E+20,6.07009E+21,9.415E+15,5.47773E+16
18,19,1,0,4,0,2016,1,13,7,1,0,7,0,1,0,1,0,0,0,0,5.64875E+20,5.99605E+21,9.99231E+15,5.41085E+16
19,20,1,0,57,35,2016,1,17,2,3,5,3,2,0,0,1,0,0,0,0,6.02881E+20,6.01627E+21,1.05803E+16,5.4284E+16
20,21,1,0,2,0,2016,1,11,3,3,3,6,0,0,0,1,0,0,1,0,5.72992E+20,6.01795E+21,1.01218E+16,5.43042E+16
21,22,1,0,59,75,2016,1,1,6,3,0,1,2,1,1,0,0,0,0,0,5.34965E+20,6.03954E+21,9.53993E+15,5.45023E+16
22,23,1,0,56,5,2016,1,15,7,3,5,7,0,1,0,1,0,1,0,0,5.59938E+20,5.94611E+21,9.90704E+15,5.36603E+16
23,24,1,0,55,35,2016,1,11,2,3,2,2,0,1,0,1,0,0,0,0,6.13969E+20,5.97566E+21,1.07353E+16,5.39168E+16
24,25,1,0,56,3,2016,1,11,3,3,5,3,0,0,0,1,0,0,0,0,5.50835E+20,5.95661E+21,9.77102E+15,5.37556E+16
25,26,1,0,51,38,2016,1,1,6,3,9,1,2,2,0,1,0,0,0,0,5.00249E+20,6.01889E+21,9.00382E+15,5.43178E+16
26,27,1,0,59,183,2016,1,13,7,3,2,6,0,0,0,1,0,0,0,0,5.22159E+20,6.06953E+21,9.34446E+15,5.47725E+16
27,28,1,0,60,39,2016,1,10,6,3,5,2,0,1,0,1,0,0,0,0,5.64762E+20,5.9622E+21,9.9834E+15,5.38043E+16
28,29,1,0,1,0,2016,1,9,2,3,5,3,0,0,1,1,0,0,0,0,5.25346E+20,6.07035E+21,9.39407E+15,5.47797E+16
29,30,1,0,51,44,2016,1,13,4,3,5,3,0,0,1,1,0,0,0,0,5.06586E+20,6.00599E+21,9.10096E+15,5.42019E+16
30,31,1,0,1,0,2016,1,15,4,3,2,6,0,1,0,1,1,0,0,0,5.27878E+20,6.07173E+21,9.43356E+15,5.4792E+16
31,32,1,0,56,8,2016,1,6,2,3,8,1,2,2,0,1,0,0,0,0,5.46718E+20,5.95911E+21,9.70896E+15,5.37785E+16
32,33,1,0,59,45,2016,1,12,2,3,1,6,0,0,0,1,0,0,0,1,5.61111E+20,6.05707E+21,9.94729E+15,5.46573E+16
33,34,1,0,51,92,2016,1,8,5,3,8,1,0,2,0,1,0,0,0,0,5.0301E+20,6.01447E+21,9.04623E+15,5.42781E+16
34,35,1,0,4,0,2016,1,7,6,3,1,1,2,2,0,1,0,1,0,0,5.66778E+20,5.98996E+21,1.00201E+16,5.40536E+16
35,36,1,0,53,32,2016,1,17,3,2,1,5,2,1,0,1,0,0,1,0,5.91146E+20,5.92249E+21,1.03723E+16,5.34435E+16
36,37,1,0,58,43,2016,1,7,6,2,5,2,2,1,0,1,0,0,0,0,5.53532E+20,6.03638E+21,9.82606E+15,5.44722E+16
37,38,1,0,62,4,2016,1,7,5,3,8,1,2,2,0,1,0,0,0,0,5.85648E+20,5.96227E+21,1.03005E+16,5.3802E+16
38,39,1,0,59,45,2016,1,15,4,3,2,6,0,0,0,1,0,0,0,0,5.59462E+20,6.05743E+21,9.9218E+15,5.46607E+16
39,40,1,0,62,18,2016,1,16,6,3,4,6,1,1,0,1,0,0,0,0,5.8001E+20,5.93301E+21,1.02073E+16,5.35399E+16
40,41,1,0,53,83,2016,1,21,6,3,0,3,2,2,0,1,0,1,0,0,6.03894E+20,5.91507E+21,1.05617E+16,5.33745E+16
41,42,1,0,57,91,2016,1,10,4,3,9,1,0,1,0,1,0,0,0,0,5.80187E+20,6.01618E+21,1.02318E+16,5.42872E+16
42,43,1,0,62,86,2016,1,1,6,2,2,6,2,1,0,1,0,0,0,0,5.88077E+20,5.93593E+21,1.03299E+16,5.35648E+16
43,44,1,0,55,28,2016,1,14,7,3,8,7,0,1,0,1,0,0,0,0,6.0735E+20,6.00658E+21,1.06455E+16,5.4196E+16
44,45,1,0,60,12,2016,1,16,3,2,5,3,0,2,0,0,0,0,1,1,5.79696E+20,5.99231E+21,1.0218E+16,5.40728E+16
45,46,1,0,58,90,2016,1,1,3,3,0,1,2,1,1,0,0,0,0,0,5.49779E+20,6.03842E+21,9.76849E+15,5.4491E+16
46,47,1,0,3,0,2016,1,15,2,3,5,3,0,1,1,1,0,0,0,0,6.18489E+20,5.97481E+21,1.08037E+16,5.39082E+16
47,48,1,0,51,10,2016,1,15,1,3,8,1,0,2,0,1,0,0,0,0,5.1454E+20,5.98447E+21,9.22186E+15,5.40084E+16
48,49,1,0,60,68,2016,1,8,5,3,8,1,0,2,0,1,0,0,0,0,5.77934E+20,5.9809E+21,1.01881E+16,5.39705E+16
49,50,1,0,4,0,2016,1,13,3,2,5,3,0,1,1,1,0,0,0,0,5.64495E+20,5.99359E+21,9.98597E+15,5.40865E+16
50,51,1,0,3,0,2016,1,9,5,3,0,7,0,2,1,0,0,0,0,0,6.10048E+20,5.9694E+21,1.06734E+16,5.38614E+16
51,52,1,0,60,27,2016,1,2,1,3,8,1,2,2,0,1,0,0,0,0,5.61157E+20,5.98292E+21,9.9328E+15,5.3991E+16
52,53,1,0,2,0,2016,1,6,6,3,1,5,2,2,0,0,0,0,0,1,5.74105E+20,6.01864E+21,1.0139E+16,5.43103E+16
53,54,1,0,56,15,2016,1,16,3,3,2,6,1,1,0,1,0,0,0,0,5.44675E+20,5.95754E+21,9.67773E+15,5.37646E+16
54,55,1,0,53,2,2016,1,2,1,3,9,1,2,2,0,1,0,0,0,0,6.10098E+20,5.94273E+21,1.06646E+16,5.36218E+16
55,56,1,0,51,47,2016,1,9,2,3,0,6,0,2,0,1,0,0,1,0,4.98783E+20,6.01592E+21,8.98131E+15,5.42912E+16
56,57,1,0,61,46,2016,1,20,1,3,7,7,2,1,0,1,0,0,0,0,5.35584E+20,5.97744E+21,9.54213E+15,5.39441E+16
57,58,1,0,58,22,2016,1,15,4,3,2,6,0,0,0,1,0,0,0,0,5.66997E+20,6.00401E+21,1.00265E+16,5.41798E+16
58,59,1,0,2,0,2016,1,7,3,3,5,3,2,0,0,1,0,1,0,0,5.73295E+20,6.01924E+21,1.01267E+16,5.43158E+16
59,60,1,0,59,158,2016,1,13,2,1,8,6,0,1,0,1,0,0,0,1,5.10155E+20,6.06819E+21,9.15782E+15,5.47608E+16
60,61,1,0,62,89,2016,1,6,5,3,5,3,2,2,1,1,0,0,0,0,5.90942E+20,5.9562E+21,1.0379E+16,5.37465E+16
61,62,1,0,59,75,2016,1,16,3,3,5,3,2,1,0,1,0,0,0,0,5.35979E+20,6.04337E+21,9.55606E+15,5.45366E+16
62,63,1,0,1,0,2016,1,12,5,3,2,6,0,1,0,1,0,0,1,0,5.29737E+20,6.07169E+21,9.46248E+15,5.47915E+16
63,64,1,0,56,36,2016,1,7,4,3,5,3,1,1,1,1,0,0,0,0,5.44459E+20,5.94683E+21,9.67291E+15,5.36684E+16
64,65,1,0,55,40,2016,1,8,5,3,8,1,0,2,0,1,0,0,0,0,6.07046E+20,5.97332E+21,1.06291E+16,5.38973E+16
65,66,1,0,2,0,2016,1,4,1,3,0,1,2,2,0,0,0,1,0,0,5.75999E+20,6.01925E+21,1.01683E+16,5.43154E+16
66,67,1,0,51,48,2016,1,14,5,2,8,1,0,0,0,1,0,0,0,0,5.04432E+20,5.9992E+21,9.06784E+15,5.41409E+16
67,68,1,0,58,38,2016,1,22,1,2,3,6,2,2,0,1,0,0,1,0,5.62454E+20,6.00362E+21,9.95685E+15,5.41768E+16
68,69,1,0,56,41,2016,1,5,2,3,5,3,2,1,0,1,0,0,0,0,5.62876E+20,5.95537E+21,9.95337E+15,5.37432E+16
69,70,1,0,54,118,2016,1,17,4,3,5,3,2,0,0,1,0,0,0,0,5.09065E+20,6.03908E+21,9.13998E+15,5.44993E+16
70,71,1,0,53,3,2016,1,4,7,3,4,6,2,1,0,1,0,0,0,0,5.88842E+20,5.93562E+21,1.03413E+16,5.35619E+16
71,72,1,0,55,40,2016,1,16,6,2,5,3,1,2,0,1,0,0,0,0,6.08571E+20,5.97212E+21,1.06519E+16,5.38862E+16
72,73,1,0,59,18,2016,1,4,7,3,8,6,2,1,0,1,0,0,0,0,5.36008E+20,6.03863E+21,9.55593E+15,5.44941E+16
73,74,1,0,58,102,2016,1,19,2,2,9,1,2,0,0,1,0,0,0,0,5.54466E+20,6.03272E+21,9.8398E+15,5.44393E+16
74,75,1,0,54,123,2016,1,7,5,3,8,1,2,2,0,1,0,0,0,0,5.14215E+20,6.04882E+21,9.21997E+15,5.45867E+16
75,76,1,0,54,86,2016,1,7,4,3,5,3,1,1,0,1,0,0,0,1,4.82773E+20,6.07916E+21,8.73163E+15,5.48593E+16
76,77,1,0,62,86,2016,1,1,6,3,8,1,2,1,0,1,0,0,0,0,5.86971E+20,5.93623E+21,1.03133E+16,5.35678E+16
77,78,1,0,61,46,2016,1,6,6,3,9,1,2,2,0,1,0,0,0,0,5.36183E+20,5.97672E+21,9.55118E+15,5.39376E+16
78,79,1,0,3,0,2016,1,6,3,3,2,6,2,0,0,1,0,0,0,0,6.09394E+20,5.97168E+21,1.06642E+16,5.3882E+16
79,80,1,0,56,8,2016,1,15,2,3,5,7,0,0,0,1,0,0,0,0,5.46319E+20,5.95901E+21,9.70289E+15,5.37776E+16
80,81,1,0,54,14,2016,1,6,5,3,8,1,2,2,0,1,0,0,0,0,4.96661E+20,6.05626E+21,8.94824E+15,5.46537E+16
